# Voigt profiles H(v,a) for different damping parameters
# v(Doppler_widths), H_gaussian(a=0), H_intermediate(a=0.1), H_lorentzian(a=1.0)
-10.0, 5.642e-9, 0.0005642, 0.14446809190068444
-9.9, 5.7565554535251506e-9, 0.0005756555453525151, 0.1445295266640093
-9.8, 5.874635568513119e-9, 0.0005874635568513119, 0.14459262243496215
-9.7, 5.9963864385163156e-9, 0.0005996386438516315, 0.14465743917464355
-9.6, 6.121961805555556e-9, 0.0006121961805555556, 0.14472403955386262
-9.5, 6.251523545706372e-9, 0.0006251523545706372, 0.144792489100308
-9.4, 6.385242191036668e-9, 0.0006385242191036668, 0.1448628563550597
-9.3, 6.523297491039426e-9, 0.0006523297491039426, 0.14493521303911855
-9.2, 6.665879017013234e-9, 0.0006665879017013234, 0.14500963423068874
-9.1, 6.813186813186814e-9, 0.0006813186813186815, 0.14508619855400667
-9.0, 6.965432098765432e-9, 0.0006965432098765432, 0.14516498838057784
-8.9, 7.12283802550183e-9, 0.0007122838025501831, 0.14524609004375436
-8.8, 7.285640495867768e-9, 0.0007285640495867769, 0.14532959406766477
-8.7, 7.45408904743031e-9, 0.000745408904743031, 0.14541559541159535
-8.6, 7.628447809626827e-9, 0.0007628447809626827, 0.14550419373101534
-8.5, 7.808996539792388e-9, 0.0007808996539792389, 0.1455954936565432
-8.4, 7.996031746031747e-9, 0.0007996031746031747, 0.14568960509226525
-8.3, 8.189867905356364e-9, 0.0008189867905356364, 0.14578664353494097
-8.2, 8.390838786436645e-9, 0.0008390838786436646, 0.1458867304157687
-8.1, 8.599298887364731e-9, 0.0008599298887364731, 0.14598999346653568
-8.0, 8.815625e-9, 0.0008815625000000001, 0.1460965671121403
-7.9, 9.040217913795866e-9, 0.0009040217913795866, 0.1462065928916609
-7.8, 9.273504273504275e-9, 0.0009273504273504275, 0.14632021991034305
-7.7, 9.515938606847698e-9, 0.0009515938606847698, 0.14643760532510178
-7.6, 9.768005540166207e-9, 0.0009768005540166207, 0.14655891486638004
-7.5, 1.0030222222222223e-8, 0.0010030222222222223, 0.14668432339947424
-7.4, 1.0303140978816654e-8, 0.0010303140978816655, 0.1468140155287393
-7.3, 1.0587352223681743e-8, 0.0010587352223681743, 0.14694818624841594
-7.2, 1.0883487654320988e-8, 0.0010883487654320988, 0.14708704164419134
-7.1, 1.1192223765125968e-8, 0.001119222376512597, 0.1472307996500113
-7.0, 1.1514285714285715e-8, 0.0011514285714285715, 0.14737969086511454
-6.9, 1.1850451585801301e-8, 0.0011850451585801302, 0.14753395943676326
-6.8, 1.2201557093425608e-8, 0.0012201557093425607, 0.1476938640147022
-6.7, 1.2568500779683671e-8, 0.0012568500779683671, 0.1478596787840024
-6.6, 1.2952249770431591e-8, 0.001295224977043159, 0.14803169458363785
-6.5, 1.3353846153846155e-8, 0.0013353846153846155, 0.14821022011892016
-6.4, 1.3774414062499998e-8, 0.0013774414062499999, 0.14839558327677796
-6.3, 1.4215167548500884e-8, 0.0014215167548500883, 0.148588132553837
-6.2, 1.4677419354838709e-8, 0.001467741935483871, 0.1487882386083374
-6.1, 1.516259070142435e-8, 0.0015162590701424353, 0.14899629594813715
-6.0, 1.5672222222222225e-8, 0.0015672222222222225, 0.14921272476841158
-5.9, 1.620798621085895e-8, 0.0016207986210858949, 0.1494379729541841
-5.8, 1.6771700356718195e-8, 0.0016771700356718194, 0.14967251826454253
-5.7, 1.7365343182517697e-8, 0.0017365343182517699, 0.1499168707173258
-5.6, 1.7991071428571432e-8, 0.0017991071428571433, 0.15017157519524563
-5.5, 1.865123966942149e-8, 0.001865123966942149, 0.15043721429686388
-5.4, 1.9348422496570644e-8, 0.0019348422496570643, 0.15071441145862274
-5.3, 2.008543965824137e-8, 0.002008543965824137, 0.15100383437726445
-5.2, 2.0865384615384615e-8, 0.0020865384615384617, 0.1513061987655343
-5.1, 2.1691657054978857e-8, 0.0021691657054978856, 0.15162227247809099
-5.0, 2.2568e-8, 0.0022568, 0.15195288004912788
-4.9, 2.2324669509755353e-8, 0.002232361517089335, 5.692280306534408e-12
-4.8, 2.2044625130344907e-8, 0.0022039062555626304, 1.5051650252372286e-11
-4.7, 2.1731398470045713e-8, 0.0021709823665274877, 3.901602327933412e-11
-4.6, 2.1403722304466167e-8, 0.0021330813583536846, 9.914383304290634e-11
-4.5, 2.1122709533284883e-8, 0.0020896298560428668, 2.469762578112468e-10
-4.4, 2.1061408092632268e-8, 0.0020399800004576797, 6.031352292649255e-10
-4.3, 2.167638217639402e-8, 0.001983398272920846, 1.443934870468325e-9
-4.2, 2.4116884387812883e-8, 0.0019190525454558169, 3.388891092085047e-9
-4.1, 3.116989760144687e-8, 0.0018459972430683327, 7.797379603299708e-9
-4.0, 4.93768366796664e-8, 0.0017631567455866797, 1.7588348370461245e-8
-3.9, 9.363523115562029e-8, 0.0016693077121542326, 3.889478190711668e-8
-3.8, 1.9691469566094012e-7, 0.0015630621723133893, 8.432424499039503e-8
-3.7, 4.301884748438954e-7, 0.0014428555011118055, 1.7923125515026904e-7
-3.6, 9.421690808359896e-7, 0.0013069476274141696, 3.7349168724328043e-7
-3.5, 2.0362993272335796e-6, 0.0011534533564700907, 7.630627383112727e-7
-3.4, 4.315729660347019e-6, 0.0009804305358887206, 1.5284750992846806e-6
-3.3, 8.948585788383903e-6, 0.0007860758006644166, 3.0018055111606635e-6
-3.2, 1.813944575558099e-5, 0.0005691104984899564, 5.7801703174855624e-6
-3.1, 3.5942987212228336e-5, 0.00032948843882513185, 1.0912923518743673e-5
-3.0, 6.962652597337395e-5, 6.962652597337395e-5, 2.0201944602585643e-5
-2.9, 0.0001256050239270681, 8.337211661447791e-5, 3.6669652853195736e-5
-2.8, 0.00022210323443624749, 0.00014833731349492415, 6.526687130115534e-5
-2.7, 0.00038496111869979816, 0.0002588396026195756, 0.00011391027512840758
-2.6, 0.0006540229144509932, 0.00044298396013824515, 0.000194952973327091
-2.5, 0.0010891386599668862, 0.0007436211682928216, 0.00032719565529502426
-2.4, 0.0017778188070921106, 0.0012244896640655916, 0.0005385312936800824
-2.3, 0.0028444999565909535, 0.0019780414482357673, 0.0008692735701982887
-2.2, 0.004461064271446804, 0.0031349764029465817, 0.0013761377670658105
-2.1, 0.0068578051743243065, 0.004875267088655924, 0.0021367150891509743
-2.0, 0.010333463743266531, 0.007440114727473138, 0.0032541055993457048
-1.9, 0.015262329032499295, 0.011143847755500803, 0.004861159808200413
-1.8, 0.022095804550287635, 0.016384289876868248, 0.007123547202277642
-1.7, 0.03135544318962352, 0.023649639179667344, 0.010240660483967478
-1.6, 0.04361442836648907, 0.033519480958212694, 0.01444323065824777
-1.5, 0.059465016533041676, 0.046657267310808444, 0.019986532682158213
-1.4, 0.07947069704479219, 0.06379146916236694, 0.027138263964041585
-1.3, 0.104103809184277, 0.08568261761459076, 0.03616062014009543
-1.2, 0.13367196751514154, 0.11307351069985754, 0.047286780309351226
-1.1, 0.1682395826970615, 0.1466198428393186, 0.06069290297603227
-1.0, 0.20755354115654867, 0.18679837383926765, 0.07646772251864088
-0.9, 0.25098411517514485, 0.23378978347216892, 0.09458276985094234
-0.8, 0.29749279154579533, 0.28733459921702154, 0.11486693328084535
-0.7, 0.3456374394841265, 0.3465653159239412, 0.13698934059777282
-0.6, 0.39362187793667375, 0.4098296688630261, 0.16045423806609016
-0.5, 0.439391640980754, 0.4745425926251402, 0.18461060685133218
-0.4, 0.4807712130817946, 0.5371368634895444, 0.20867774571898312
-0.3, 0.515631230620441, 0.5932115507624678, 0.23178613394617675
-0.2, 0.5420683525947433, 0.6379716247194003, 0.25303084391156877
-0.1, 0.5585768873633543, 0.6669726919739892, 0.2715329270791769
0.0, 0.5641907119269234, 0.6770275002573075, 0.2865028700037369
0.1, 0.5585768873633543, 0.6669726919739892, 0.2715329270791769
0.2, 0.5420683525947433, 0.6379716247194003, 0.25303084391156877
0.3, 0.515631230620441, 0.5932115507624678, 0.23178613394617675
0.4, 0.4807712130817946, 0.5371368634895444, 0.20867774571898312
0.5, 0.439391640980754, 0.4745425926251402, 0.18461060685133218
0.6, 0.39362187793667375, 0.4098296688630261, 0.16045423806609016
0.7, 0.3456374394841265, 0.3465653159239412, 0.13698934059777282
0.8, 0.29749279154579533, 0.28733459921702154, 0.11486693328084535
0.9, 0.25098411517514485, 0.23378978347216892, 0.09458276985094234
1.0, 0.20755354115654867, 0.18679837383926765, 0.07646772251864088
1.1, 0.1682395826970615, 0.1466198428393186, 0.06069290297603227
1.2, 0.13367196751514154, 0.11307351069985754, 0.047286780309351226
1.3, 0.104103809184277, 0.08568261761459076, 0.03616062014009543
1.4, 0.07947069704479219, 0.06379146916236694, 0.027138263964041585
1.5, 0.059465016533041676, 0.046657267310808444, 0.019986532682158213
1.6, 0.04361442836648907, 0.033519480958212694, 0.01444323065824777
1.7, 0.03135544318962352, 0.023649639179667344, 0.010240660483967478
1.8, 0.022095804550287635, 0.016384289876868248, 0.007123547202277642
1.9, 0.015262329032499295, 0.011143847755500803, 0.004861159808200413
2.0, 0.010333463743266531, 0.007440114727473138, 0.0032541055993457048
2.1, 0.0068578051743243065, 0.004875267088655924, 0.0021367150891509743
2.2, 0.004461064271446804, 0.0031349764029465817, 0.0013761377670658105
2.3, 0.0028444999565909535, 0.0019780414482357673, 0.0008692735701982887
2.4, 0.0017778188070921106, 0.0012244896640655916, 0.0005385312936800824
2.5, 0.0010891386599668862, 0.0007436211682928216, 0.00032719565529502426
2.6, 0.0006540229144509932, 0.00044298396013824515, 0.000194952973327091
2.7, 0.00038496111869979816, 0.0002588396026195756, 0.00011391027512840758
2.8, 0.00022210323443624749, 0.00014833731349492415, 6.526687130115534e-5
2.9, 0.0001256050239270681, 8.337211661447791e-5, 3.6669652853195736e-5
3.0, 6.962652597337395e-5, 6.962652597337395e-5, 2.0201944602585643e-5
3.1, 3.5942987212228336e-5, 0.00032948843882513185, 1.0912923518743673e-5
3.2, 1.813944575558099e-5, 0.0005691104984899564, 5.7801703174855624e-6
3.3, 8.948585788383903e-6, 0.0007860758006644166, 3.0018055111606635e-6
3.4, 4.315729660347019e-6, 0.0009804305358887206, 1.5284750992846806e-6
3.5, 2.0362993272335796e-6, 0.0011534533564700907, 7.630627383112727e-7
3.6, 9.421690808359896e-7, 0.0013069476274141696, 3.7349168724328043e-7
3.7, 4.301884748438954e-7, 0.0014428555011118055, 1.7923125515026904e-7
3.8, 1.9691469566094012e-7, 0.0015630621723133893, 8.432424499039503e-8
3.9, 9.363523115562029e-8, 0.0016693077121542326, 3.889478190711668e-8
4.0, 4.93768366796664e-8, 0.0017631567455866797, 1.7588348370461245e-8
4.1, 3.116989760144687e-8, 0.0018459972430683327, 7.797379603299708e-9
4.2, 2.4116884387812883e-8, 0.0019190525454558169, 3.388891092085047e-9
4.3, 2.167638217639402e-8, 0.001983398272920846, 1.443934870468325e-9
4.4, 2.1061408092632268e-8, 0.0020399800004576797, 6.031352292649255e-10
4.5, 2.1122709533284883e-8, 0.0020896298560428668, 2.469762578112468e-10
4.6, 2.1403722304466167e-8, 0.0021330813583536846, 9.914383304290634e-11
4.7, 2.1731398470045713e-8, 0.0021709823665274877, 3.901602327933412e-11
4.8, 2.2044625130344907e-8, 0.0022039062555626304, 1.5051650252372286e-11
4.9, 2.2324669509755353e-8, 0.002232361517089335, 5.692280306534408e-12
5.0, 2.2568e-8, 0.0022568, 0.15195288004912788
5.1, 2.1691657054978857e-8, 0.0021691657054978856, 0.15162227247809099
5.2, 2.0865384615384615e-8, 0.0020865384615384617, 0.1513061987655343
5.3, 2.008543965824137e-8, 0.002008543965824137, 0.15100383437726445
5.4, 1.9348422496570644e-8, 0.0019348422496570643, 0.15071441145862274
5.5, 1.865123966942149e-8, 0.001865123966942149, 0.15043721429686388
5.6, 1.7991071428571432e-8, 0.0017991071428571433, 0.15017157519524563
5.7, 1.7365343182517697e-8, 0.0017365343182517699, 0.1499168707173258
5.8, 1.6771700356718195e-8, 0.0016771700356718194, 0.14967251826454253
5.9, 1.620798621085895e-8, 0.0016207986210858949, 0.1494379729541841
6.0, 1.5672222222222225e-8, 0.0015672222222222225, 0.14921272476841158
6.1, 1.516259070142435e-8, 0.0015162590701424353, 0.14899629594813715
6.2, 1.4677419354838709e-8, 0.001467741935483871, 0.1487882386083374
6.3, 1.4215167548500884e-8, 0.0014215167548500883, 0.148588132553837
6.4, 1.3774414062499998e-8, 0.0013774414062499999, 0.14839558327677796
6.5, 1.3353846153846155e-8, 0.0013353846153846155, 0.14821022011892016
6.6, 1.2952249770431591e-8, 0.001295224977043159, 0.14803169458363785
6.7, 1.2568500779683671e-8, 0.0012568500779683671, 0.1478596787840024
6.8, 1.2201557093425608e-8, 0.0012201557093425607, 0.1476938640147022
6.9, 1.1850451585801301e-8, 0.0011850451585801302, 0.14753395943676326
7.0, 1.1514285714285715e-8, 0.0011514285714285715, 0.14737969086511454
7.1, 1.1192223765125968e-8, 0.001119222376512597, 0.1472307996500113
7.2, 1.0883487654320988e-8, 0.0010883487654320988, 0.14708704164419134
7.3, 1.0587352223681743e-8, 0.0010587352223681743, 0.14694818624841594
7.4, 1.0303140978816654e-8, 0.0010303140978816655, 0.1468140155287393
7.5, 1.0030222222222223e-8, 0.0010030222222222223, 0.14668432339947424
7.6, 9.768005540166207e-9, 0.0009768005540166207, 0.14655891486638004
7.7, 9.515938606847698e-9, 0.0009515938606847698, 0.14643760532510178
7.8, 9.273504273504275e-9, 0.0009273504273504275, 0.14632021991034305
7.9, 9.040217913795866e-9, 0.0009040217913795866, 0.1462065928916609
8.0, 8.815625e-9, 0.0008815625000000001, 0.1460965671121403
8.1, 8.599298887364731e-9, 0.0008599298887364731, 0.14598999346653568
8.2, 8.390838786436645e-9, 0.0008390838786436646, 0.1458867304157687
8.3, 8.189867905356364e-9, 0.0008189867905356364, 0.14578664353494097
8.4, 7.996031746031747e-9, 0.0007996031746031747, 0.14568960509226525
8.5, 7.808996539792388e-9, 0.0007808996539792389, 0.1455954936565432
8.6, 7.628447809626827e-9, 0.0007628447809626827, 0.14550419373101534
8.7, 7.45408904743031e-9, 0.000745408904743031, 0.14541559541159535
8.8, 7.285640495867768e-9, 0.0007285640495867769, 0.14532959406766477
8.9, 7.12283802550183e-9, 0.0007122838025501831, 0.14524609004375436
9.0, 6.965432098765432e-9, 0.0006965432098765432, 0.14516498838057784
9.1, 6.813186813186814e-9, 0.0006813186813186815, 0.14508619855400667
9.2, 6.665879017013234e-9, 0.0006665879017013234, 0.14500963423068874
9.3, 6.523297491039426e-9, 0.0006523297491039426, 0.14493521303911855
9.4, 6.385242191036668e-9, 0.0006385242191036668, 0.1448628563550597
9.5, 6.251523545706372e-9, 0.0006251523545706372, 0.144792489100308
9.6, 6.121961805555556e-9, 0.0006121961805555556, 0.14472403955386262
9.7, 5.9963864385163156e-9, 0.0005996386438516315, 0.14465743917464355
9.8, 5.874635568513119e-9, 0.0005874635568513119, 0.14459262243496215
9.9, 5.7565554535251506e-9, 0.0005756555453525151, 0.1445295266640093
10.0, 5.642e-9, 0.0005642, 0.14446809190068444
